First Name,Last Name,Email,phone#
Arthur,Dent,a.Dent@hgtg.com,2819635306
Abe,Lincoln,abeLink@thewhitehouse.gov,1159168395
Ashley,Stinson,StAsh607@bagelLover.com,4041342472
SlartiBartFast,NULL,NorwayRules@hgtg.com,9197188025
MuhryeUh,Reynolds,mary@notyourLover.com,5052361009
Sheldon ,Cooper,Sheldon.Cooper@tbbt.com,1018936041
Janie,Dhoe,notyouraverageJane@electronicmail.com,4136399522
Ben,Smith,B.Smith@sumRandom.com,8470106021
Gwynnifer ,BeetlejuiceheyitsGwyn@gw,ynb.com,8204045476
Collin,Miller,collin.miller@msn.com,3051142905
Olivia,Garcia,Olivia.Garc@widget.com,4653364385
Frodo,Baggins,Frodo.Baggins@theShire.com,1799862755
Charles,Priest,c.priest@widget.com,5223433658
Mario,Theplumber,mario@letsago.com,8747583621
Luigi,Theplumber,luigo@itsaluigi.com,9992912615
Flynn,Taggart,Flynn.T@Doom.com,9926911263
Winnie,ThePoo,mrwinnie@ohbother.net,7904514746
Darth,Vader,immadaddy@georgelucas.org,7026881314
Ron,Burgandy,theburg@imanachor.com,5503924089
Tony,Stark,iamironman@avengers.com,5993751992
Thor,Odinson,strongestavenger@avengers.com,2526405332
Willy,Wonka,sillywilly@thechocofactory.com,5683954945
John,McClane,john@yippeKiYay.com,2515517615
Wally,Waldo,Waldo@wheresWaldo.com,5217029026
Joe,Johnson,youraveragejoe@widget.com,8793860741
